"season_1","season_2","team_id","team_name","player_id","player_name","game_id","game_date","home_team","away_team","quarter","mins_left","secs_left","secs_left_q","event_type","shot_made","action_type","shot_type","basic_zone","zone_name","zone_abb","zone_range","loc_x","loc_y","shot_distance","is_three","shot_value","is_clutch"
2008,"2007-08","1610612763","Memphis Grizzlies","2545","Darko Milicic","20700310","2007-12-11","MEM","DET",1,4,46,110,"Made Shot",True,"Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","4.8","6.75","5",0,2,0
2008,"2007-08","1610612744","Golden State Warriors","1536","Stephen Jackson","20700313","2007-12-11","GSW","SAS",1,4,15,79,"Missed Shot",False,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","-4.6","8.25","5",0,2,0
2008,"2007-08","1610612759","San Antonio Spurs","1938","Manu Ginobili","20700313","2007-12-11","GSW","SAS",1,4,27,91,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Center","C","16-24 ft.","-3.4","23.05","18",0,2,0
2008,"2007-08","1610612739","Cleveland Cavaliers","1716","Larry Hughes","20700308","2007-12-11","CLE","IND",1,5,13,78,"Made Shot",True,"Jump Shot","3PT Field Goal","Right Corner 3","Right Side","R","24+ ft.","-22.5","10.55","23",1,3,0
2008,"2007-08","1610612741","Chicago Bulls","693","Joe Smith","20700311","2007-12-11","CHI","SEA",1,3,26,89,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center","LC","16-24 ft.","10.3","23.95","21",0,2,0
2008,"2007-08","1610612751","New Jersey Nets","467","Jason Kidd","20700309","2007-12-11","NJN","LAC",1,3,34,97,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center","LC","16-24 ft.","9.5","25.45","22",0,2,0
2008,"2007-08","1610612760","Seattle SuperSonics","703","Kurt Thomas","20700311","2007-12-11","CHI","SEA",1,3,42,105,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center","LC","16-24 ft.","13.1","21.35","20",0,2,0
2008,"2007-08","1610612750","Minnesota Timberwolves","200783","Craig Smith","20700306","2007-12-11","WAS","MIN",1,4,3,67,"Made Shot",True,"Dunk Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","-0.3","6.25","1",0,2,0
2008,"2007-08","1610612763","Memphis Grizzlies","757","Damon Stoudamire","20700310","2007-12-11","MEM","DET",1,4,55,119,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center","LC","24+ ft.","22.2","15.75","24",1,3,0
2008,"2007-08","1610612764","Washington Wizards","2052","DeShawn Stevenson","20700306","2007-12-11","WAS","MIN",1,4,20,84,"Made Shot",True,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center","RC","24+ ft.","-14.1","24.95","24",1,3,0
2008,"2007-08","1610612746","Los Angeles Clippers","1510","Brevin Knight","20700309","2007-12-11","NJN","LAC",1,3,48,111,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Right Side","R","16-24 ft.","-19","5.75","19",0,2,0
2008,"2007-08","1610612744","Golden State Warriors","1884","Baron Davis","20700313","2007-12-11","GSW","SAS",1,4,41,105,"Made Shot",True,"Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","1.5","9.85","4",0,2,0
2008,"2007-08","1610612741","Chicago Bulls","2550","Kirk Hinrich","20700311","2007-12-11","CHI","SEA",1,3,56,119,"Made Shot",True,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center","RC","24+ ft.","-13.3","25.35","24",1,3,0
2008,"2007-08","1610612759","San Antonio Spurs","2225","Tony Parker","20700313","2007-12-11","GSW","SAS",1,4,53,117,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Left Side","L","16-24 ft.","15.6","15.45","18",0,2,0
2008,"2007-08","1610612760","Seattle SuperSonics","2404","Chris Wilcox","20700311","2007-12-11","CHI","SEA",1,4,5,69,"Made Shot",True,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612750","Minnesota Timberwolves","200783","Craig Smith","20700306","2007-12-11","WAS","MIN",1,4,46,110,"Made Shot",True,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","-0.5","5.25","0",0,2,0
2008,"2007-08","1610612765","Detroit Pistons","1888","Richard Hamilton","20700310","2007-12-11","MEM","DET",1,5,2,67,"Missed Shot",False,"Dunk Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612751","New Jersey Nets","2124","Malik Allen","20700309","2007-12-11","NJN","LAC",1,4,10,74,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Right Side","R","8-16 ft.","-15.4","5.95","15",0,2,0
2008,"2007-08","1610612764","Washington Wizards","2406","Caron Butler","20700306","2007-12-11","WAS","MIN",1,5,1,66,"Made Shot",True,"Running Slam Dunk Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0.2","3.65","1",0,2,0
2008,"2007-08","1610612744","Golden State Warriors","2740","Andris Biedrins","20700313","2007-12-11","GSW","SAS",1,5,20,85,"Made Shot",True,"Slam Dunk Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0.2","5.45","0",0,2,0
